日英TAT200
名詞,動詞,助動詞,形容詞,副詞,前置詞,接続詞,熟語
明確に区別できる,distinctive,形容詞,,,,,
相違点，多様性,diversity,名詞,,,,,
AをBに分ける,divide A into B,熟語,,,,,
優勢な,dominant,形容詞,,,,,
疑わしい，あいまいな,dubious,形容詞,,,,,
耐久性,durability,名詞,,,,,
継続，持続時間,duration,名詞,,,,,
動的な，動力の,dynamic,形容詞,,,,,
結果，効果，効力,effect,名詞,,,,,
電磁気の,electromagnetic,形容詞,,,,,
放つ[放射，放出，発光する],emit,動詞,,,,,
高める，増す,enhance,動詞,,,,,
等しいこと[同等，均等，等式],equality,名詞,,,,,
同等の,equivalent,形容詞,,,,,
評価する,evaluate,動詞,,,,,
発展，展開させる,evolve,動詞,,,,,
AをBと交換する,exchange A for B,熟語,,,,,
実行する,execute,動詞,,,,,
排出する，使い果たす,exhaust,動詞,,,,,
広げる[拡張，拡大，膨張する],expand,動詞,,,,,
終了する，無効となる,expire,動詞,,,,,
外的な，無関係な,external,形容詞,,,,,
偽造する，組み立てる,fabricate,動詞,,,,,
設備，施設,facilities,名詞,,,,,
要因,factor,名詞,,,,,
致命的な，決定的な,fatal,形容詞,,,,,
欠陥,fault,名詞,,,,,
実行可能な，適した,feasible,形容詞,,,,,
一般化,generalization,名詞,,,,,
高性能,high performance,形容詞,,,,,
水平な,horizontal,形容詞,,,,,
a 対bの割合で,in the ratio of a to b,熟語,,,,,
増加,increase ,名詞,,,,,
増加する,increase ,動詞,,,,,
指し示す,indicate,動詞,,,,,
誘導する，帰納する,induce,動詞,,,,,
不活性の,inert,形容詞,,,,,
無限大,infinity,名詞,,,,,
情報,information,名詞,,,,,
初期化，初期設定,initialization,名詞,,,,,
無機の,inorganic,形容詞,,,,,
入力,input,名詞,,,,,
記入，登録,inscription,名詞,,,,,
指示，命令，使用説明書,instructions,名詞,,,,,
道具[器具，器械，計器],instrument,名詞,,,,,
取り入れること[摂取，吸気],intake,名詞,,,,,
強度,intensity,名詞,,,,,
[交換，交替]する,interchange,動詞,,,,,
共通領域，インターフェース,interface,名詞,,,,,
内部の，本質的な,internal,形容詞,,,,,
交わる,intersect,動詞,,,,,
導入する,introduce,動詞,,,,,
実験室，研究室,laboratory,名詞,,,,,
大規模な,large-scale,形容詞,,,,,
層,layer,名詞,,,,,
縦の,lengthwise,形容詞,,,,,
制限する，限定する,limit,動詞,,,,,
制限，限定,limit,名詞,,,,,
機械，装置,machine,名詞,,,,,
維持する，主張する，守る,maintain,動詞,,,,,
手動の,manual,形容詞,,,,,
製造業者，製造者,manufacturer,名詞,,,,,
大量生産,mass production,名詞,,,,,
具体[有形]化する,materialize,動詞,,,,,
手段，方法,means,名詞,,,,,
測定，測量，寸法,measurement,名詞,,,,,
力学，機械学，仕組み,mechanics,名詞,,,,,
金属,metal,名詞,,,,,
鉱物,mineral,名詞,,,,,
基本単体，モジュール,module,名詞,,,,,
勢い，運動量,momentum,名詞,,,,,
運動，動作，移動,motion,名詞,,,,,
動機を与える,motivate,動詞,,,,,
多変数の,multivariable,形容詞,,,,,
幅が狭い,narrow,形容詞,,,,,
負の，陰の，消極的な，禁止の,negative,形容詞,,,,,
網状組織[ネットワーク，放送網],network,名詞,,,,,
中和，中立状態,neutralization,名詞,,,,,
無効にする,nullify,動詞,,,,,
不明瞭な,obscure,形容詞,,,,,
２分の１,one half,名詞,,,,,
４分の１,one quarter,名詞,,,,,
作用，操作，運転，影響,operation,名詞,,,,,
視力の，光学の,optical,形容詞,,,,,
軌道,orbit,名詞,,,,,
有機の,organic,形容詞,,,,,
逆説,paradox,名詞,,,,,
平行の,parallel,形容詞,,,,,
部分的な,partial,形容詞,,,,,
微粒子,particle,名詞,,,,,
～ごとに,per,前置詞,,,,,
実行，性能,performance,名詞,,,,,
周期，期間,period,名詞,,,,,
物理学の，身体の，自然の，物質の,physical,形容詞,,,,,
平面，水準，次元，飛行機,plane ,名詞,,,,,
工場，施設，植物,plant,名詞,,,,,
磨く[研磨する，練る],polish,動詞,,,,,
陽性反応,positive reaction,名詞,,,,,
正確な，精密な,precise,形容詞,,,,,
止めること[予防，妨害，邪魔],prevention,名詞,,,,,
第１の[主要な，最初の],primary,形容詞,,,,,
過程，工程，手順,process,名詞,,,,,
生み出す[生産，製造，作る],produce,動詞,,,,,
特性，特質，属性,property,名詞,,,,,
比率，割合，均衡,proportion,名詞,,,,,
AをBから保護する,protect A against/from B,熟語,,,,,
質,quality,名詞,,,,,
量,quantity,名詞,,,,,
認める[認識，識別，承認する],recognize,動詞,,,,,
繰り返す[再発，循環する],recur,動詞,,,,,
減らす[減少，縮小，薄める],reduce,動詞,,,,,
反映[反射，反響]する,reflect,動詞,,,,,
規制する,regulate,動詞,,,,,
AをBと取り替える,replace A with B,熟語,,,,,
抵抗，妨害,resistance,名詞,,,,,
資源，手段,resources,名詞,,,,,
取り返す[回収，復旧，回復，検索する],retrieve,動詞,,,,,
回転，循環する,revolve,動詞,,,,,
顕著な，突出した,salient,形容詞,,,,,
第２の[二次的，副次的，派生的な],secondary,形容詞,,,,,
分離可能な,separable,形容詞,,,,,
AでBを形作る,shape A into B,熟語,,,,,
自発的な，任意の,spontaneous,形容詞,,,,,
安定，固定させる,stabilize,動詞,,,,,
標準化，規格化する,standardize,動詞,,,,,
静的な，固定的な,static,形容詞,,,,,
刺激剤，誘因,stimulant,名詞,,,,,
規定する，明記する,stipulate,動詞,,,,,
蓄え[保管（法），充電，記憶装置],storage,名詞,,,,,
構造［組織，建造物］,structure,名詞,,,,,
AをBに置換する,substitute A for B,熟語,,,,,
引くこと，引き算,subtraction,名詞,,,,,
吸引（力）,suction,名詞,,,,,
供給［補充］する,supply,動詞,,,,,
生き残ること［残存，生存の］,survival,名詞,,,,,
対称,symmetry,名詞,,,,,
同期［同時］の,synchronous,形容詞,,,,,
合成の，総合的な,synthetic,形容詞,,,,,
摂取する,take in,熟語,,,,,
技術,technique,名詞,,,,,
～の傾向にある,tend to,熟語,,,,,
AをBに変形させる,transform A into B,熟語,,,,,
半透明の,translucent,形容詞,,,,,
AをBに送る［伝える，感染する］,transmit A to B,熟語,,,,,
透明な,transparent,形容詞,,,,,
AをBに変える,turn A into B,熟語,,,,,
結びつける[結合，合体，接合，接着する],unite,動詞,,,,,
更新する,update,動詞,,,,,
不定の,variable,形容詞,,,,,
変化すること[変動，差異],variation,名詞,,,,,
さまざまな,various,形容詞,,,,,
垂直な,vertical,形容詞,,,,,
量[容積，音量],volume,名詞,,,,,
耐水の,water-resistant,形容詞,,,,,
重さ[体重，重力，おもり，重圧，重要さ],weight,名詞,,,,,
幅,width,名詞,,,,,
